object_name	epoch_mjd	original_epoch	field_id	ra_deg	dec_deg	filter_id
S00000YMa	50100.030930778	50100.031277999995	1	114.632318980626	-33.3466286267575	z
S00000mma	50100.031376777995	50100.03172399999	2	114.300517133533	-36.1112259486742	z
S000009Ma	50100.03809377799	50100.03844099999	17	82.2183838288743	-61.1461900517395	z
S00000Zaa	50100.040812777996	50100.04115999999	23	89.0543104220258	-52.5850164277806	z
S00001pNa	50100.040812777996	50100.04115999999	23	90.5695957128866	-52.0920834754483	z
S0000020a	50100.04215677799	50100.04250399999	26	104.110728431458	-53.2262384290433	z
S00005oZa	50100.04215677799	50100.04250399999	26	105.644883778116	-53.3808558653734	z
S00004Ona	50100.043053778	50100.043400999995	28	104.842941960422	-48.7750543371135	z
S00000GTa	50100.044398777995	50100.04474599999	31	91.3175809691246	-49.7869344274814	z
S00000i2a	50100.044398777995	50100.04474599999	31	88.7854690078842	-48.5897687299119	z
S00000i2a	50100.044848777994	50100.04519599999	32	88.7853155157729	-48.5895269415637	z
S00000dZa	50100.045783778	50100.046130999996	34	98.7605144200013	-45.5402088453009	z
S00001Ina	50100.045783778	50100.046130999996	34	101.052443156255	-44.9509696279159	z
S00000waa	50100.047587778	50100.047934999995	38	89.3005912130727	-37.7238982898951	z
S00000pNa	50100.048036778	50100.048383999994	39	95.1997374994828	-39.2383905741884	z
S00003rfa	50100.048484777995	50100.04883199999	40	96.9043806963573	-38.3719538145381	z
S00000mma	50100.04922577799	50100.04957299999	41	114.288243107468	-36.1120551729652	z
S000025la	50100.05550777799	50100.05585499999	55	89.1811896292387	-60.702557281478	z
S000009Ma	50100.055963777995	50100.05631099999	56	82.2101925718872	-61.1354528394447	z
S00002mSa	50100.057768777995	50100.05811599999	60	75.680038820799	-47.1535275179775	z
S0000LLta	50100.059550777994	50100.05989799999	61	81.7020322416181	-12.7791428777251	r
S0000cAIa	50100.059550777994	50100.05989799999	61	79.5500197190635	-11.8348999176717	r
S0000yqYa	50100.059550777994	50100.05989799999	61	80.9514316295742	-13.4553988953154	r
S00003hla	50100.060000777994	50100.06034799999	62	78.9558752014549	-13.4339782097599	r
S0000FiAa	50100.060000777994	50100.06034799999	62	80.9032496123335	-15.3998046887776	r
S00006Hka	50100.06045077799	50100.06079799999	63	76.7790295712214	-17.1982391556458	r
S00002CPa	50100.06090077799	50100.06124799999	64	75.2738036084438	-20.5906761961872	r
S00005Bca	50100.06090077799	50100.06124799999	64	76.8924196627558	-20.6353827434851	r
S0000ClVa	50100.06090077799	50100.06124799999	64	75.9396464201649	-21.590911944411	r
S0000oWja	50100.06090077799	50100.06124799999	64	76.890899048954	-21.3742781068064	r
S00002vxa	50100.062261777995	50100.06260899999	67	85.0744655921599	-13.0982032574724	r
S0000cb4a	50100.062261777995	50100.06260899999	67	84.3508260873391	-11.9195592988528	r
S00000Pma	50100.062718778	50100.063065999995	68	89.2910011216704	-10.4854117224473	r
S000043Ta	50100.062718778	50100.063065999995	68	89.9512148302144	-9.81772581016284	r
S0000rhva	50100.062718778	50100.063065999995	68	89.9145278583646	-8.99755029008634	r
S00008vKa	50100.063168778	50100.063515999995	69	90.7518851514775	-5.80508632443895	r
S00002iMa	50100.064071778	50100.064418999995	71	88.5457418471172	-2.84810609905782	r
S00003Lma	50100.064071778	50100.064418999995	71	89.0000968947157	-3.50955229233131	r
S00003Qsa	50100.064071778	50100.064418999995	71	88.0646712503604	-3.61074208462139	r
S00003dma	50100.064071778	50100.064418999995	71	89.2653174546504	-2.66418201929559	r
S00006u2a	50100.064071778	50100.064418999995	71	89.6439273849535	-2.98802163583323	r
S0000c67a	50100.064071778	50100.064418999995	71	89.6285312411614	-3.66429841902919	r
S0000dtKa	50100.064521778	50100.064868999994	72	90.0959929787345	0.135666849646583	r
S0000BN7a	50100.064969777995	50100.06531699999	73	94.1172697063034	-0.34359495976986	r
S0000Gdga	50100.064969777995	50100.06531699999	73	94.0926430438407	-0.6256657207214	r
S0000hFJa	50100.064969777995	50100.06531699999	73	94.153451904217	-1.93177706130237	r
S00003lra	50100.065416777994	50100.06576399999	74	97.7642381383656	0.376977889669519	r
S00005J0a	50100.065416777994	50100.06576399999	74	98.5983700283297	-1.2159132560318	r
S0000Jy6a	50100.065416777994	50100.06576399999	74	97.1180563604965	-0.749524415895735	r
S00003qfa	50100.06586277799	50100.06620999999	75	101.36481023062	0.0515937008753156	r
S00005J0a	50100.06586277799	50100.06620999999	75	98.5981320160554	-1.21595452212736	r
S00006A9a	50100.06586277799	50100.06620999999	75	101.418192631062	0.0425227753719355	r
S00008Vwa	50100.06586277799	50100.06620999999	75	99.0234002803483	0.673855489359198	r
S0000mURa	50100.06586277799	50100.06620999999	75	99.6880719334271	-0.669510480109295	r
S00003Aga	50100.066310778	50100.066657999996	76	99.597851128481	2.88244197036278	r
S00006Eea	50100.066310778	50100.066657999996	76	98.4281302295137	1.212364625671	r
S000070La	50100.066310778	50100.066657999996	76	97.8109967280355	0.958812268798027	r
S00008Vwa	50100.066310778	50100.066657999996	76	99.0233009050886	0.674157545824585	r
S0000eR6a	50100.066756778	50100.067103999994	77	95.1681857479042	1.11482604601247	r
S0000sVoa	50100.066756778	50100.067103999994	77	93.8187320557982	1.62169429111123	r
S00002jca	50100.06764977799	50100.06799699999	79	98.380500845367	4.77984403446609	r
S00004eAa	50100.06764977799	50100.06799699999	79	96.7279045986687	3.36411342537968	r
S00008uaa	50100.06764977799	50100.06799699999	79	97.3487504563728	4.60273304394531	r
S0000oBga	50100.06764977799	50100.06799699999	79	96.6660628286008	3.16132824050911	r
S000004Aa	50100.06809577799	50100.06844299999	80	98.8967427955254	4.87968223750266	r
S0000057a	50100.06854977799	50100.06889699999	81	99.0683565990699	8.74137292572411	r
S00000WIa	50100.06854977799	50100.06889699999	81	101.317659313968	9.89315004091495	r
S0000b2La	50100.06854977799	50100.06889699999	81	101.046594513993	10.5416784908793	r
S0000b4Da	50100.06854977799	50100.06889699999	81	100.112570006689	9.1004324453024	r
S00003p1a	50100.068994778	50100.069341999995	82	96.3512204527236	9.75761731411308	r
S0000GTsa	50100.069438777995	50100.06978599999	83	95.2218469330507	12.8612254215886	r
S0000VsCa	50100.069438777995	50100.06978599999	83	97.2768515476135	12.7552266687936	r
