object_name	epoch_mjd	original_epoch	field_id	ra_deg	dec_deg	filter_id
S00000YMa	50100.030930778	50100.031277999995	1	114.627240062469	-33.3475686359034	z
S00000mma	50100.031376777995	50100.03172399999	2	114.298772000558	-36.1114705467396	z
S000009Ma	50100.03809377799	50100.03844099999	17	82.2173522737811	-61.1455011922995	z
S00000Zaa	50100.040812777996	50100.04115999999	23	89.0518287860188	-52.5839126065007	z
S00001pNa	50100.040812777996	50100.04115999999	23	90.5671253038385	-52.0910806616588	z
S0000020a	50100.04215677799	50100.04250399999	26	104.108157569508	-53.2256948054192	z
S00005oZa	50100.04215677799	50100.04250399999	26	105.633135902497	-53.3785730559571	z
S00004Ona	50100.043053778	50100.043400999995	28	104.83629692917	-48.7739927875516	z
S00000GTa	50100.044398777995	50100.04474599999	31	91.3144714905428	-49.7857350103498	z
S00000i2a	50100.044398777995	50100.04474599999	31	88.7840291593852	-48.5891620692958	z
S00000i2a	50100.044848777994	50100.04519599999	32	88.7838837633112	-48.5889182738092	z
S00000dZa	50100.045783778	50100.046130999996	34	98.7586687428711	-45.539835537552	z
S00001Ina	50100.045783778	50100.046130999996	34	101.049417514773	-44.9504761039125	z
S00000waa	50100.047587778	50100.047934999995	38	89.2977990694857	-37.7234351449764	z
S00000pNa	50100.048036778	50100.048383999994	39	95.1974895134983	-39.2380946745063	z
S00003rfa	50100.048484777995	50100.04883199999	40	96.8999719059243	-38.3715441619303	z
S00000mma	50100.04922577799	50100.04957299999	41	114.286635945862	-36.1122098453865	z
S000025la	50100.05550777799	50100.05585499999	55	89.1793683460035	-60.701383698527	z
S000009Ma	50100.055963777995	50100.05631099999	56	82.2094474319696	-61.134721922741	z
S00002mSa	50100.057768777995	50100.05811599999	60	75.6793938467834	-47.1525867054174	z
S0000LLta	50100.059550777994	50100.05989799999	61	81.7004401215847	-12.7813362716633	r
S0000cAIa	50100.059550777994	50100.05989799999	61	79.5492240802562	-11.8362506703511	r
S0000yqYa	50100.059550777994	50100.05989799999	61	80.9499571131717	-13.4574523806515	r
S00003hla	50100.060000777994	50100.06034799999	62	78.9546358293522	-13.4360172793838	r
S00006Hka	50100.06045077799	50100.06079799999	63	76.7775101488284	-17.2006366462831	r
S00002CPa	50100.06090077799	50100.06124799999	64	75.273354833702	-20.5913036717288	r
S00005Bca	50100.06090077799	50100.06124799999	64	76.8914513688089	-20.6364968864612	r
S0000ClVa	50100.06090077799	50100.06124799999	64	75.9384542823692	-21.5922787260421	r
S0000oWja	50100.06090077799	50100.06124799999	64	76.8899633925781	-21.3752681979955	r
S00002vxa	50100.062261777995	50100.06260899999	67	85.0739673337407	-13.0987868600185	r
S0000cb4a	50100.062261777995	50100.06260899999	67	84.3484711848726	-11.9226292339886	r
S00000Pma	50100.062718778	50100.063065999995	68	89.2900988799364	-10.4864077485571	r
S000043Ta	50100.062718778	50100.063065999995	68	89.9497634652701	-9.81933357202672	r
S0000bTaa	50100.062718778	50100.063065999995	68	88.566826412666	-9.73747095195847	r
S0000rhva	50100.062718778	50100.063065999995	68	89.9122565399158	-9.00016533053417	r
S00008vKa	50100.063168778	50100.063515999995	69	90.7473546733588	-5.81086103501565	r
S00002iMa	50100.064071778	50100.064418999995	71	88.5452280263599	-2.84892069319221	r
S00003Lma	50100.064071778	50100.064418999995	71	88.9992065521122	-3.51090310893949	r
S00003Qsa	50100.064071778	50100.064418999995	71	88.0639965261129	-3.61180985905699	r
S00003dma	50100.064071778	50100.064418999995	71	89.2642010999686	-2.66590213359083	r
S00006u2a	50100.064071778	50100.064418999995	71	89.6350525953861	-3.00131613680068	r
S0000c67a	50100.064071778	50100.064418999995	71	89.627121958613	-3.66636406706289	r
S0000dtKa	50100.064521778	50100.064868999994	72	90.0935513017824	0.131697533663413	r
S0000BN7a	50100.064969777995	50100.06531699999	73	94.1145887599383	-0.347257263523545	r
S0000Gdga	50100.064969777995	50100.06531699999	73	94.0891117885035	-0.630455742516233	r
S0000PLWa	50100.064969777995	50100.06531699999	73	94.1852526760203	-0.726751520177373	r
S0000hFJa	50100.064969777995	50100.06531699999	73	94.1512521912807	-1.93464250997434	r
S00003lra	50100.065416777994	50100.06576399999	74	97.7626800150556	0.375057169689399	r
S00005J0a	50100.065416777994	50100.06576399999	74	98.5968460872376	-1.21766513161461	r
S0000Jy6a	50100.065416777994	50100.06576399999	74	97.1132281753964	-0.755421218452739	r
S00003qfa	50100.06586277799	50100.06620999999	75	101.363664125317	0.0503319038944312	r
S00005J0a	50100.06586277799	50100.06620999999	75	98.5966157948858	-1.21770631283857	r
S00006A9a	50100.06586277799	50100.06620999999	75	101.415924046717	0.0400295664103396	r
S00008Vwa	50100.06586277799	50100.06620999999	75	99.0208056423291	0.670743713666184	r
S0000mURa	50100.06586277799	50100.06620999999	75	99.6854593763526	-0.672474118595062	r
S00003Aga	50100.066310778	50100.066657999996	76	99.5964556756235	2.88069934696583	r
S00006Eea	50100.066310778	50100.066657999996	76	98.4269579390543	1.21090463588453	r
S00008Vwa	50100.066310778	50100.066657999996	76	99.0207193413337	0.67104567705465	r
S0000eR6a	50100.066756778	50100.067103999994	77	95.1660520613833	1.11184065101804	r
S0000sVoa	50100.066756778	50100.067103999994	77	93.8168394090932	1.61886775999312	r
S00002jca	50100.06764977799	50100.06799699999	79	98.3796453636119	4.77866735133745	r
S00004eAa	50100.06764977799	50100.06799699999	79	96.7270258011286	3.36287207999135	r
S00008uaa	50100.06764977799	50100.06799699999	79	97.3470628240604	4.60033665894946	r
S0000oBga	50100.06764977799	50100.06799699999	79	96.6633483036606	3.15750329975521	r
