object_name	epoch_mjd	field_id	ra_deg	dec_deg	mag	filter_id
S00000YMa	50100.031278	1	114.631897037118	-33.3469819367635	19.9004	z
S00000mma	50100.031724	2	114.300275718097	-36.1112410711452	21.2835	z
S000009Ma	50100.038441	17	82.2182268802199	-61.1459778205509	20.9939	z
S00000Zaa	50100.04116	23	89.0540731969574	-52.5850188003567	20.8731	z
S00001pNa	50100.04116	23	90.5691706405912	-52.0922056131591	21.5589	z
S0000020a	50100.042504	26	104.110455586554	-53.226338039151	17.5002	z
S00005oZa	50100.042504	26	105.645212821112	-53.3809980534575	20.5865	z
S00004Ona	50100.043401	28	104.843026185224	-48.77535795949	21.3789	z
S00000i2a	50100.044746	31	88.7853554304131	-48.5895791565916	20.4208	z
S00000GTa	50100.044746	31	91.3177361637903	-49.7868037981356	19.8653	z
S00000i2a	50100.045196	32	88.7852019334919	-48.5893373531575	20.4241	z
S00000dZa	50100.046131	34	98.7603299649723	-45.540106709929	19.9723	z
S00001Ina	50100.046131	34	101.052256875022	-44.9510097478305	21.3034	z
S00000waa	50100.047935	38	89.3007535280992	-37.7238702755537	18.9067	z
S00000pNa	50100.048384	39	95.1996535695404	-39.2384354833817	19.6125	z
S00003rfa	50100.048832	40	96.9040454935089	-38.3717907648698	20.8999	z
S00000mma	50100.049573	41	114.288001064769	-36.1120699340642	21.2909	z
S000025la	50100.055855	55	89.1808946585218	-60.7024992995545	22.6193	z
S000009Ma	50100.056311	56	82.2100356633289	-61.1352401354037	20.997	z
S00002mSa	50100.058116	60	75.6798238934866	-47.1531693093408	22.5136	z
S0000cAIa	50100.059898	61	79.5496555425216	-11.834844277953	23.8245	r
S0000yqYa	50100.059898	61	80.9514821741657	-13.4554789708084	23.5793	r
S0000LLta	50100.059898	61	81.7020766712212	-12.7789585957542	23.9686	r
S00003hla	50100.060348	62	78.955830275713	-13.4341483430128	20.7574	r
S0000FiAa	50100.060348	62	80.9031309732397	-15.3994981541998	24.2442	r
S00006Hka	50100.060798	63	76.7784368602541	-17.1980572390741	20.887	r
S00002CPa	50100.061248	64	75.2737009163917	-20.5907015816843	22.0135	r
S0000ClVa	50100.061248	64	75.9402023581305	-21.5901649472644	24.0628	r
S0000oWja	50100.061248	64	76.8910148273123	-21.3741460353105	23.5728	r
S00005Bca	50100.061248	64	76.8927117709683	-20.6349346707917	22.0207	r
S0000cb4a	50100.062609	67	84.3499445723865	-11.9197527756233	22.3502	r
S00002vxa	50100.062609	67	85.0743683677219	-13.0981739471518	23.7182	r
S0000bTaa	50100.063066	68	88.5676835245731	-9.73639311739305	24.1487	r
S00000Pma	50100.063066	68	89.2909500154253	-10.4852829324565	21.1879	r
S0000rhva	50100.063066	68	89.9141596420647	-8.99775954816351	23.4425	r
S000043Ta	50100.063066	68	89.9511387617817	-9.81738593111464	22.144	r
S00008vKa	50100.063516	69	90.7517374987679	-5.80386288969737	21.2336	r
S00003Qsa	50100.064419	71	88.0645702566319	-3.61056001754122	23.6623	r
S00002iMa	50100.064419	71	88.5456070937344	-2.84810201341551	23.8621	r
S00003Lma	50100.064419	71	89.0000094790056	-3.50946635095002	22.8961	r
S00003dma	50100.064419	71	89.2653475619364	-2.66396125811536	22.165	r
S0000c67a	50100.064419	71	89.6282420069977	-3.66433525156216	23.3121	r
S00006u2a	50100.064419	71	89.6444920427332	-2.98664105910072	19.3575	r
S0000dtKa	50100.064869	72	90.0958998843337	0.13627256523398	22.409	r
S0000Gdga	50100.065317	73	94.0928335376139	-0.625490238864813	22.8271	r
S0000BN7a	50100.065317	73	94.1172271490311	-0.343586629329451	23.2857	r
S0000hFJa	50100.065317	73	94.1532624933603	-1.93189103599968	22.9342	r
S0000PLWa	50100.065317	73	94.1873953863538	-0.723471021722588	24.0622	r
S0000Jy6a	50100.065764	74	97.1178603393037	-0.749323678693628	22.3734	r
S00003lra	50100.065764	74	97.7638568375779	0.377042203205889	22.2055	r
S00005J0a	50100.065764	74	98.5981750433896	-1.21593745953439	22.8257	r
S00005J0a	50100.06621	75	98.5979370217635	-1.21597872399931	22.8232	r
S00008Vwa	50100.06621	75	99.0232904628297	0.674093608485435	21.9858	r
S0000mURa	50100.06621	75	99.6877996548999	-0.669355589359583	23.2571	r
S00003qfa	50100.06621	75	101.364647787554	0.0515508311929977	23.1802	r
S00006A9a	50100.06621	75	101.417933057724	0.0424590120054802	22.1424	r
S00006Eea	50100.066658	76	98.4279939390679	1.21250407322918	23.6923	r
S00008Vwa	50100.066658	76	99.0231910742881	0.674395662587187	21.9844	r
S00003Aga	50100.066658	76	99.5974887130574	2.88258347435155	22.685	r
S0000sVoa	50100.067104	77	93.8188772533262	1.62182545086441	23.738	r
S0000eR6a	50100.067104	77	95.1680507229903	1.11468004961671	22.7622	r
S0000oBga	50100.067997	79	96.6655370246544	3.16091525974849	23.3204	r
S00004eAa	50100.067997	79	96.727827388791	3.36416829563626	23.7237	r
S00008uaa	50100.067997	79	97.348524417398	4.60261765473876	22.8506	r
S00002jca	50100.067997	79	98.3803716553159	4.77985539571205	23.2141	r
S000004Aa	50100.068443	80	98.8966307325584	4.87974241334001	20.1787	r
S0000057a	50100.068897	81	99.0682275931148	8.74137941512859	20.6344	r
S0000b4Da	50100.068897	81	100.112258456021	9.1002105345714	23.1937	r
S0000b2La	50100.068897	81	101.046497526637	10.5418129323075	23.4204	r
S00000WIa	50100.068897	81	101.316985697774	9.89306570667483	19.1163	r
S00003p1a	50100.069342	82	96.3510552476506	9.75765625018079	23.1951	r
S0000GTsa	50100.069786	83	95.2218723094116	12.8614171113452	23.6461	r
S0000VsCa	50100.069786	83	97.2768024240189	12.7561973601754	22.4212	r
S00004wha	50100.070231	84	93.0782695024712	10.906827304222	21.6943	r
S0000uQga	50100.070231	84	93.0904234910838	12.5770201139865	23.0418	r
S00005bJa	50100.070675	85	92.7586518056922	15.0023370539959	23.1516	r
S0000vy7a	50100.071119	86	89.1912342455448	17.4432869651342	23.5237	r
S00001zya	50100.071119	86	89.5663606051991	18.1570590347783	20.9433	r
S0000dAaa	50100.071119	86	89.7434920166122	15.7780771276188	23.5589	r
S00000uxa	50100.071119	86	90.1831750565973	16.5878781631835	22.5088	r
S00005WSa	50100.071119	86	91.3647271091758	16.1370045100173	23.0112	r
S00001qea	50100.071564	87	85.9049961159227	15.8076777141977	22.8127	r
S00002dSa	50100.071564	87	86.225650708243	17.8261968187304	22.4389	r
S00001p5a	50100.071564	87	86.488727643702	17.6678280735407	21.1256	r
S00000PXa	50100.072009	88	88.2151490219367	15.3258538839435	22.8504	r
S0000o9za	50100.072009	88	88.8444926058367	13.9729412412303	23.2587	r
S0000gM1a	50100.072453	89	90.1861620679934	10.4547706921878	23.5116	r
S0001417a	50100.072453	89	90.6188666177686	10.3095472081611	22.287	r
S00005kma	50100.072898	90	89.7785013974527	8.34804500789483	23.1059	r
S0000gM1a	50100.072898	90	90.1856121430422	10.4549483710383	23.5193	r
S0001417a	50100.072898	90	90.6189125473203	10.3098687617413	22.2906	r
S0000cyva	50100.072898	90	90.8151983602709	9.76172743578931	22.5791	r
S000087Ya	50100.072898	90	91.3423615844117	9.00072630331016	22.9451	r
S0000kdha	50100.073342	91	90.9062016693973	6.2475582694068	22.4557	r
S000006wa	50100.073342	91	92.6731686577858	7.04538878027515	21.9312	r
S0000x3Ha	50100.073342	91	93.0389141872058	6.7800384231476	23.8699	r
S0000eR3a	50100.073342	91	93.9356326579049	6.82186109662811	23.3967	r
S0000A1aa	50100.073342	91	94.1557435630798	6.77087227766683	23.4081	r
S0000RCPa	50100.073791	92	89.6663374309403	6.01985256560346	23.2488	r
S0000kdha	50100.073791	92	90.9062537583256	6.24795180731559	22.46	r
S00001pTa	50100.074236	93	87.9792381519427	8.33121795725415	22.4642	r
S00003hIa	50100.074236	93	88.1410818135679	7.96619889498697	24.0434	r
S00000wVa	50100.074681	94	86.9270798498657	11.9514710157887	22.14	r
S0000vETa	50100.075126	95	83.5501292353377	12.7941148656581	23.1429	r
S00005cIa	50100.075126	95	83.6588475110034	13.546196472955	23.5565	r
S0000XGza	50100.075126	95	85.6611551597784	12.7482863048205	23.6735	r
S0000gKWa	50100.075126	95	85.7866911981668	14.1287582640765	23.9166	r
S0000MRza	50100.075571	96	83.1592462071549	16.395407105522	22.6925	r
S00008KLa	50100.075571	96	83.4684687054443	14.9692410645304	23.3435	r
S00009taa	50100.076017	97	81.1039976017597	16.5982115758326	21.7443	r
S000076Ha	50100.076017	97	81.1292235098309	18.6053881487711	22.747	r
S000002Aa	50100.076463	98	84.8799539720832	16.9016603703882	21.5755	r
S000016ya	50100.076463	98	85.1369776981819	19.3050650546815	23.5085	r
S00002dSa	50100.076463	98	86.2246298528391	17.8269060138805	22.4386	r
S0000aU3a	50100.076463	98	86.4212563931985	18.7973826572249	23.7589	r
S00001p5a	50100.076463	98	86.4867234474889	17.6685696288079	21.1245	r
S0000aU3a	50100.076908	99	86.4212404327047	18.7973469300757	23.7589	r
S0000myga	50100.076908	99	87.5614588216189	17.7234166214238	21.2319	r
S000014sa	50100.076908	99	88.660883682941	18.6636903449928	23.3415	r
S00001zya	50100.076908	99	89.5661617001939	18.1586415657019	20.9431	r
S0000vp5a	50100.077352	100	90.3435222379005	18.2115733438608	22.9825	r
